"","symbols","allENT","moduleColors","riBAQ 17","riBAQ 18","riBAQ 35","riBAQ 36","riBAQ 19","riBAQ 20","riBAQ 21","riBAQ 22","riBAQ 23","riBAQ 37","riBAQ 38","riBAQ 39","riBAQ 40","riBAQ 41","riBAQ 24","riBAQ 25","riBAQ 26","riBAQ 42","riBAQ 43"
"1482","S100A8","ENSG00000143546","grey",0.000218607,0,0.000402103,0.000274824,0,0,0,0,0,0.000322334,0.000231916,0.000868451,0.000764151,0.000483034,0,0,0,0.000440367,0.000371996
"1483","S100A9","ENSG00000163220","grey",0.000481526,0.000250508,0.000547236,0.000323769,0.000381431,0.000308473,0.000236287,0,0.000152081,0.00043612,0.000281057,0.00136815,0.001118802,0.000730811,0.000247695,0.000219202,0.000166285,0.000692127,0.000576046
"1484","S100B","ENSG00000160307","black",0.008757074,0.016225666,0.008830566,0.006953924,0.020437549,0.026108136,0.016824697,0.030499316,0.029140402,0.013887352,0.02469819,0.025070534,0.042547382,0.015049582,0.043109755,0.045493273,0.025303296,0.047620569,0.027479429
"1485","SACM1L","ENSG00000211456","green",0,1.31e-05,9.47e-06,1.12e-05,0,1.77e-05,0,0,0,1.46e-05,2.03e-05,0,0,0,0,1.52e-05,0,4.06e-05,1.61e-05
"1486","SAMM50","ENSG00000100347","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79e-05,7.38e-05,5.55e-05,3.25e-05,8e-05
"1487","SAR1A","ENSG00000079332","green",0,0,0,7.65e-05,0,7.65e-05,6.89e-05,0,0,7.11e-05,8.06e-05,0,4.14e-05,0,5.97e-05,7.42e-05,6.21e-05,7.9e-05,9.16e-05
"1488","SARS",NA,"turquoise",0.000116045,0.00017406,0.000166629,0.000115064,0.000170301,0.000136392,0.000110973,0.000173215,0.0001698,0.000132434,0.000144978,9.82e-05,0.000163266,0.000133313,0.000117884,9.74e-05,9.16e-05,9.14e-05,0.000101957
"1489","SBDS","ENSG00000126524","black",3e-05,3.8e-05,3.05e-05,3.26e-05,4.12e-05,0,5.4e-05,5.53e-05,5.8e-05,4e-05,5.87e-05,3.38e-05,9.34e-05,4.74e-05,7.76e-05,7.06e-05,7.58e-05,9.2e-05,9.87e-05
"1490","SBF1","ENSG00000100241","black",6.65e-06,1.74e-05,1.31e-05,1.42e-05,1.12e-05,7.93e-06,4.33e-06,8.48e-06,7.03e-06,9.09e-06,1.19e-05,3.06e-06,0,2.91e-06,0,4.4e-06,0,0,0
"1491","SBSN","ENSG00000189001","grey",5.21e-05,2.34e-05,0.000114409,0.000128019,4.41e-05,5.76e-05,3.89e-05,8.14e-06,9.93e-06,5.29e-05,3.15e-05,0.000425177,0.000154323,0.000227377,7.95e-06,3.42e-05,2.74e-05,0.00011034,0.000181316
"1492","SCAI","ENSG00000173611","black",1.23e-05,8.02e-05,5.94e-05,5.34e-05,1.97e-05,5.89e-05,4.76e-05,2.39e-05,1.95e-05,3.93e-05,4.93e-05,0,0,1.5e-05,0,0,0,5.15e-06,1.12e-05
"1493","SCAMP1","ENSG00000085365","black",0,5.45e-05,5.37e-05,6.42e-05,0,0,0,0,0,4.78e-05,0,0,0,3.19e-05,0,0,0,0,2.99e-05
"1494","SCARB2","ENSG00000138760","turquoise",0.000158919,4.77e-05,6.26e-05,3.69e-05,0.000195046,0.000213675,0.000212154,0.000162751,0.000131616,0.000151624,0.000122468,0.000179997,6.32e-05,0.000109197,0.000235485,0.000631837,0.000394342,0.000180895,0.000648481
"1495","SCCPDH","ENSG00000143653","turquoise",3.46e-05,3.62e-05,3.07e-05,3.52e-05,6.58e-05,6.95e-05,7.93e-05,4.43e-05,4.74e-05,6.63e-05,5.86e-05,3.76e-05,3.56e-05,0,8.39e-05,0.000150113,0.000151083,0.000151051,0.000200706
"1496","SCG3","ENSG00000104112","grey",0,1.89e-05,1.03e-05,1.32e-05,1.95e-05,0.005039089,2.06e-05,2.44e-05,0.004028704,1.27e-05,1.17e-05,0,1.93e-05,0,0,0,0,0,8.6e-06
"1497","SCIN","ENSG00000006747","turquoise",0,0,0,0,1.76e-05,0,0,0,0,0,0,0,9.84e-06,8.95e-06,8.92e-06,1.26e-05,2.17e-05,4.36e-05,1.65e-05
"1498","SCN2A","ENSG00000136531","black",1.45e-05,4.65e-05,3.39e-05,3.31e-05,1.98e-05,2.5e-05,1.34e-05,1.78e-05,1.93e-05,2.95e-05,2.82e-05,1.14e-05,6.47e-06,1.27e-05,0,0,0,0,0
"1499","SCN2B","ENSG00000149575","black",0.000336016,0.000210408,0.000357164,0.00032845,0.000227858,0.000212331,0.000191721,0.000194166,0.000232229,0.000269378,0.000275063,0.00026645,0.000116862,0.000141967,0.000136134,6.62e-05,9.76e-05,0,0.000113739
"1500","SCP2","ENSG00000116171","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54e-05,4.01e-05,6.66e-05,5.57e-05
"1501","SCRN1","ENSG00000136193","turquoise",0.000769348,0.001249352,0.00126449,0.001251905,0.001420655,0.00121901,0.001060879,0.001343454,0.001361722,0.001320096,0.00136346,0.000887918,0.001094955,0.001213183,0.001125501,0.000641605,0.000801423,0.001201369,0.00068933
"1502","SDCBP","ENSG00000137575","grey",0.000357372,0.000290541,0.000269596,0.000223833,0.000283603,0.000292894,0.000300189,0.000256147,0.000215036,0.000260941,0.000255096,0.000235581,0.000181129,0.000175349,0.000249277,0.000201946,0.000209304,0.000374352,0.000265591
"1503","SDHA","ENSG00000073578","turquoise",3.73e-05,0,0,0,3.69e-05,5.78e-05,4.16e-05,3.32e-05,4.1e-05,4.03e-05,9.42e-06,2.35e-05,1.16e-05,1.48e-05,9.59e-05,0.000248834,0.000281751,0.000147464,0.00043836
"1504","SDHB","ENSG00000117118","turquoise",0,0,0,0,4.7e-05,3.51e-05,3.1e-05,0,2.13e-05,2.72e-05,0,1.68e-05,2.13e-05,0,6.34e-05,0.000251672,0.000173886,0.000105284,0.000399664
"1505","SEC13","ENSG00000157020","grey",0,3.87e-05,2.67e-05,3.05e-05,0,4.02e-05,0,2.1e-05,0,0,3.1e-05,0,0,0,3.18e-05,3.12e-05,2.97e-05,3.39e-05,2.96e-05
"1506","SEC14L2","ENSG00000100003","grey",9.8e-05,0.000107306,0.00011367,0.00014634,9.67e-05,8.96e-05,6.15e-05,0,7.27e-05,5.81e-05,9.72e-05,8.19e-05,0.000101544,6.52e-05,6.99e-05,0.000118365,0.000106715,0.000137547,0.000129406
"1507","SEC22B","ENSG00000265808","grey",0,2.91e-05,1.94e-05,2.46e-05,0,0,0,0,0,2.08e-05,2.45e-05,0,0,0,0,2.16e-05,1.04e-05,2.02e-05,2.94e-05
"1508","SEC62","ENSG00000008952","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37e-05,2.24e-05,2.22e-05,1.03e-05
"1509","SELENBP1","ENSG00000143416","black",0.000313818,0.000191299,0.000209433,0.000283178,0.000295647,0.000319748,0.000328504,0.000373007,0.000432176,0.00031916,0.000227232,0.000347289,0.000567145,0.000373527,0.000600719,0.000754508,0.000726424,0.000666013,0.000634475
"1510","SEPTIN10","ENSG00000186522","turquoise",0,0,0,0,0,0,0,7.12e-06,0,0,0,0,0,0,0,2.04e-05,2.89e-05,2.87e-05,2e-05
"1511","SEPTIN11","ENSG00000138758","black",0.001104487,0.001010813,0.001209928,0.001088063,0.000968876,0.000644967,0.000776803,0.000838571,0.000937628,0.001063039,0.000811466,0.000797084,0.000739103,0.000810134,0.000843957,0.000610067,0.000773392,0.000615815,0.000525783
"1512","SEPTIN2","ENSG00000168385","turquoise",0.000573033,0.000352757,0.000414382,0.000504092,0.000495063,0.000443563,0.000507494,0.000539042,0.000608615,0.000427726,0.000407237,0.000594768,0.000492437,0.000476631,0.000784178,0.000830894,0.000884838,0.000840318,0.000626155
"1513","SEPTIN3","ENSG00000100167","black",0.000207611,0.00022698,0.000241882,0.000214047,0.000211411,0.000149844,0.0002186,0.000226155,0.000261356,0.000245739,0.000215913,0.000155584,0.000141543,0.000195705,0.000153033,0.000116606,0.000126979,0.000105335,0.000116176
"1514","SEPTIN4","ENSG00000108387","grey",3.99e-05,3.14e-05,3.2e-05,1.94e-05,0,0,2.75e-05,0,2.94e-05,2.31e-05,3.97e-05,0,0,0,0,0,2.26e-05,0,0
"1515","SEPTIN5","ENSG00000184702","black",0.000890339,0.000937075,0.001184427,0.000826812,0.00062017,0.000510318,0.000795604,0.000682915,0.000735426,0.001025055,0.0007076,0.000529207,0.000359788,0.000590932,0.000284161,0.000203229,0.00019258,0.000115552,0.000203857
"1516","SEPTIN6","ENSG00000125354","black",0.000134401,0.000107316,0.000129311,0.00011278,7.99e-05,6.85e-05,7.7e-05,8.01e-05,9.96e-05,0.000123644,9.75e-05,5.55e-05,5.48e-05,6.87e-05,5.73e-05,3.27e-05,2.92e-05,2.75e-05,0
"1517","SEPTIN7","ENSG00000122545","black",0.001635744,0.00157151,0.001980974,0.00170837,0.001376381,0.00099884,0.001193035,0.001325321,0.00142426,0.001659449,0.00128674,0.001291065,0.001244167,0.001204099,0.001128383,0.000974058,0.001173784,0.001072857,0.000970061
"1518","SEPTIN8","ENSG00000164402","black",0.000433484,0.000342984,0.000382165,0.000433574,0.000354636,0.000290177,0.000282218,0.000340068,0.000374455,0.000342172,0.000249352,0.000313543,0.000294026,0.000315588,0.00026712,0.00028215,0.000350504,0.000247316,0.000186638
"1519","SEPTIN9","ENSG00000282302","grey",0.000138051,0.000139405,0.000123703,0.000157573,0.000150953,9.71e-05,0.000132856,0.000129537,0.000146836,0.000189546,0.000115803,0.000115837,0.000103724,0.000121514,0.000124664,0.000125659,0.000216669,0.000136192,0.000122918
"1520","SERPINA1","ENSG00000277377","grey",0.000377334,0.000292921,7.99e-05,7.42e-05,0.001096913,0.000293769,0.000368995,0.001319093,0.000604005,0.000365435,0.0003862,0.000586344,0.000778412,0.000621778,0.001360885,0.000514592,0.000544865,0.000519195,0.000146873
"1521","SERPINA3","ENSG00000196136","grey",0,3.46e-05,0,0,4.84e-05,4.52e-05,3.25e-05,0.000144196,0,4.4e-05,4.3e-05,3.77e-05,4e-05,6.58e-05,4.48e-05,0,4.78e-05,8.03e-05,1.52e-05
"1522","SERPINB1","ENSG00000021355","black",3.83e-05,2.18e-05,1.97e-05,1.39e-05,0,3.37e-05,7.86e-05,5.86e-05,9.19e-05,2.29e-05,3.39e-05,4.77e-05,6.93e-05,7.95e-05,6.39e-05,5.19e-05,6.08e-05,9.97e-05,5.45e-05
"1523","SERPINB6","ENSG00000124570","grey",0.000117843,7.53e-05,3.99e-05,9.09e-05,3.8e-05,9.72e-05,0.000149191,0.000176436,0.000193302,5.4e-05,7.86e-05,0.000146985,0.000101066,0.00016573,7.48e-05,7.64e-05,5.97e-05,0.000140731,9.45e-05
"1524","SERPINB9","ENSG00000170542","grey",2.3e-05,2.09e-05,1.92e-05,1.8e-05,0,0,0,1.47e-05,0,1.69e-05,2.71e-05,9.29e-06,2.38e-05,3.61e-05,0,0,0,1.17e-05,0
"1525","SERPINH1","ENSG00000149257","green",0,0,0,0,0,3.71e-05,0,0,0,0,0,0,0,0,1.27e-05,2.94e-05,2e-05,5.35e-05,4.11e-05
"1526","SET","ENSG00000119335","turquoise",9.86e-05,9.74e-05,0,0,0.000144038,0.000123089,0.000250305,0.00023378,0.000155243,0,0,0,0.000234321,0,0.000157898,0.000156085,0.000748255,0.000155255,0.000203396
"1527","SFN","ENSG00000175793","black",0,0,0,0,0,0,0,0,0,0,0,0.000356486,0.000297093,0,0.000309417,0,0.000336722,0.00033119,0.000314682
"1528","SFXN1","ENSG00000164466","turquoise",0,0,1.81e-05,1.98e-05,8.35e-05,8.76e-05,5.69e-05,6.1e-05,0,5.58e-05,2.02e-05,4.89e-05,4.01e-05,0,0.000181018,0.00038043,0.000284599,0.000163699,0.000624215
"1529","SFXN3","ENSG00000107819","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38e-05,6.54e-05,7.72e-05,4.2e-05,0.000148067
"1530","SFXN5","ENSG00000144040","turquoise",0,0,0,0,0.000122718,4.1e-05,3.74e-05,0,0,0,0,0,0,0,7.5e-05,0.000189107,0.000144319,0,0.000220093
"1531","SGCD","ENSG00000170624","grey",2.61e-05,0,0,1.54e-05,9.6e-06,0,6.07e-05,1.64e-05,3.73e-05,1.39e-05,1.4e-05,0,3.06e-05,2.05e-05,3.51e-05,3.16e-05,4.27e-05,3.8e-05,0
"1532","SGIP1","ENSG00000118473","black",3.08e-05,4.41e-05,4.94e-05,4.36e-05,2.46e-05,1.93e-05,1.58e-05,2.82e-05,1.96e-05,2.92e-05,2.43e-05,1.37e-05,2.15e-05,2.64e-05,1.16e-05,5.51e-06,0,0,0
"1533","SGTA","ENSG00000104969","black",0,8.94e-05,9.71e-05,9.42e-05,5.76e-05,6.64e-05,3.22e-05,5.08e-05,3.74e-05,5.92e-05,7.98e-05,4.38e-05,3.87e-05,6.02e-05,3.86e-05,4.36e-05,3.48e-05,5.73e-05,3.9e-05
"1534","SGTB","ENSG00000197860","black",0,0.000173685,0.000157254,8.45e-05,0,8.25e-05,0,0,0,6.55e-05,8.74e-05,4.1e-05,5.94e-05,6.16e-05,3.06e-05,0,2.64e-05,0,0
"1535","SH3BGRL","ENSG00000131171","black",0.00048425,0.000382875,0.000326852,0.000394684,0.000473854,0.000488479,0.000491322,0.000584496,0.000574499,0.000348291,0.000464721,0.000580975,0.001054241,0.000567529,0.000545625,0.00066596,0.000539229,0.00067365,0.000535428
"1536","SH3BGRL2","ENSG00000198478","green",0.000219153,0.000246274,0.000195211,0.000183077,0.000182816,0,0,0.000244553,0.00020633,0.00018244,0,0.000192198,0.000491262,0.000218133,0.000156129,0,0,0,8e-05
"1537","SH3BGRL3","ENSG00000142669","grey",0,0,0.000394617,0.000528515,0.000443527,0.000393432,0.000414419,0.000714022,0.00034292,0,0.000399123,0,0.000979175,0.000481835,0.000358804,0.000396295,0,0,0.000383025
"1538","SH3GL1","ENSG00000141985","black",5.47e-05,7.79e-05,0.000129792,9.76e-05,5.96e-05,0,0,0,4.06e-05,7.39e-05,5.25e-05,0,0,4.93e-05,0,0,0,0,0
"1539","SH3GL2","ENSG00000107295","black",0.001000147,0.001329417,0.001493554,0.001749132,0.001235306,0.00071614,0.000724289,0.001052411,0.001014105,0.001575295,0.001327015,0.00064418,0.000521242,0.000879806,0.000423978,0.000206313,0.00024477,0.00020549,0.000269222
"1540","SH3GL3","ENSG00000291608","black",6.74e-05,0.000113347,0.000148118,0.000175804,9.5e-05,6.12e-05,5.97e-05,8.54e-05,7.45e-05,0.000120994,7.74e-05,4.58e-05,4.2e-05,7.01e-05,0,0,0,0,0
"1541","SH3GLB1","ENSG00000097033","grey",0,0,3.08e-05,3.46e-05,0,1.8e-05,0,0,0,0,2.4e-05,0,0,0,0,1.6e-05,1.14e-05,1.67e-05,2.85e-05
"1542","SH3GLB2","ENSG00000148341","black",8.01e-05,0.000391554,0.000247232,0.000222747,0.000126452,0.000184758,0.000169242,9.06e-05,9.7e-05,0.000249498,0.000225905,7.5e-05,8.32e-05,7.6e-05,4.03e-05,5.13e-05,4.02e-05,3.08e-05,8.89e-05
"1543","SIAE","ENSG00000110013","turquoise",0,0,0,0,0,0,9.42e-06,0,0,0,0,0,0,0,1.18e-05,1.08e-05,1.43e-05,7.14e-06,8.07e-06
"1544","SIRPA","ENSG00000198053","grey",0.000664269,0.00036385,0.000598603,0.000527976,0.000698032,0.000768711,0.001358092,0.000536142,0.00053959,0.000509332,0.000597762,0.000686825,0.000378293,0.00051183,0.000413356,0.000724215,0.000448637,0.00028373,0.000730735
"1545","SIRT2","ENSG00000283100","grey",0.000125316,0.000296147,0.000154357,0.000150184,0.000235999,0.000517062,0.000411532,0.000320684,0.000237561,0.000276979,0.000479764,0.000336804,0.000263586,0.000257151,0.000278827,0.000108948,0.000258613,7.75e-05,0.000107189
"1546","SKP1","ENSG00000113558","grey",0.000836001,0.0012806,0.001142779,0.001153985,0.001172422,0.001264112,0.000807298,0.001440285,0.001043177,0.001096763,0.001151397,0.000894815,0.001540058,0.001046904,0.000953738,0.001051433,0.001154095,0.001475668,0.001000784
"1547","SLC12A2","ENSG00000064651","black",9.16e-06,1.91e-05,1.36e-05,9.64e-06,5.63e-06,1.15e-05,6.73e-06,9.58e-06,8.96e-06,9.31e-06,1.11e-05,8.67e-06,9.08e-06,6.32e-06,7.17e-06,6.69e-06,0,6.87e-06,5.61e-06
"1548","SLC12A5","ENSG00000124140","grey",6.33e-05,5.36e-05,4.5e-05,2.38e-05,3.68e-05,9.33e-05,5.23e-05,3.36e-05,6.1e-05,3.68e-05,4.7e-05,5.44e-05,3.72e-05,2.21e-05,4.37e-05,4.05e-05,2.58e-05,1.15e-05,5.71e-05
"1549","SLC14A1","ENSG00000141469","turquoise",0.000163151,0,0,0,0.000326734,0.000264112,0.000157415,0.000223822,0.000488622,0.000132302,0.000212342,0.000406373,0,0,0.000699653,0.00094268,0.001925609,0.000927956,0.001522878
"1550","SLC15A2","ENSG00000163406","turquoise",5.18e-05,4.83e-05,5.61e-05,8.4e-05,4.71e-05,3.19e-05,6.19e-05,6.25e-05,3e-05,4.29e-05,4.3e-05,6.06e-05,3.11e-05,3.09e-05,4.1e-05,7.82e-05,8.4e-05,9.97e-05,0.000120383
"1551","SLC16A1","ENSG00000281917","turquoise",0.000117932,0,7.33e-05,7.83e-05,0.000110046,0.00012109,0.000115036,0.000148522,0.000136904,0.00010085,0.000164297,0.000197584,0.000161886,9.72e-05,0.000238943,0.000366896,0.000345665,0.000186446,0.000154332
"1552","SLC17A7","ENSG00000104888","pink",0.000219218,0.000246098,0.000309627,0.000256309,0.000252677,0.000180817,0.000513971,0.000146712,0.000215795,0.000254885,0.000242332,0.000104139,6.73e-05,0.000116284,5.7e-05,5.85e-05,0,0,9.71e-05
"1553","SLC1A2","ENSG00000110436","turquoise",0.007296412,0.006314659,0.005317047,0.007008954,0.005009636,0.006828905,0.004875469,0.007008646,0.005440706,0.00469761,0.004905449,0.005697134,0.003729765,0.003932396,0.004508051,0.002306999,0.002790457,0.003068493,0.002719891
"1554","SLC1A3","ENSG00000079215","turquoise",0.003768655,0.00300051,0.002698651,0.002571689,0.002499784,0.003366008,0.002836313,0.003076185,0.003142061,0.002657441,0.002526117,0.003381528,0.002071856,0.001894981,0.004511893,0.005249985,0.00405765,0.004155967,0.004306366
"1555","SLC1A4","ENSG00000115902","grey",0.000281472,0.000259167,0.000213898,0.000319117,0.000280133,0.00032677,0.000339381,0.000519169,0.000342416,0.000250312,0.000172824,0.000299636,0.00014747,0.000201657,0.000313581,0.000274039,0.000206678,0.000291661,0.000270548
"1556","SLC25A1","ENSG00000100075","turquoise",0,0,0,0,2.06e-05,0,0,0,0,2.11e-05,0,0,0,0,3.42e-05,0.000171701,9.85e-05,5.07e-05,0.000199995
"1557","SLC25A11","ENSG00000108528","turquoise",3.19e-05,0,0,0,3.15e-05,6.42e-05,3.41e-05,4.48e-05,2.82e-05,0,0,0,0,0,8.6e-05,0.000187626,0.000111442,5.06e-05,0.000276793
"1558","SLC25A12","ENSG00000292099","turquoise",1.52e-05,0,5.9e-06,0,0,3.62e-05,2.99e-05,1.2e-05,0,2.03e-05,0,1.14e-05,1.06e-05,0,3.94e-05,9.89e-05,5.16e-05,2.38e-05,0.000146228
"1559","SLC25A18","ENSG00000182902","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33e-05,7.02e-05,2.62e-05,0.000123796
"1560","SLC25A20","ENSG00000178537","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94e-05,6.35e-05,1.97e-05,6.63e-05
"1561","SLC25A24","ENSG00000284468","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62e-05,2.27e-05,2.4e-05,8.16e-05
"1562","SLC25A3","ENSG00000075415","turquoise",7.41e-05,0,2.18e-05,3.72e-05,9.79e-05,0.000147269,7.71e-05,0.000100925,7.75e-05,0.000103748,3.47e-05,6.05e-05,3.02e-05,0,0.000212263,0.000536426,0.000386189,0.000180366,0.000715057
"1563","SLC25A4","ENSG00000151729","turquoise",0.000234765,8.66e-05,0.000121561,0.00011939,0.000340512,0.000456126,0.000332071,0.000338451,0.00026742,0.000277542,0.000174155,0.000227685,0.000148109,7.42e-05,0.000815876,0.001907034,0.001233978,0.000643846,0.002271443
"1564","SLC25A5","ENSG00000005022","turquoise",0,0,0,0,0,5.64e-05,0,0,0,0,0,0,0,0,0.00010103,0.000205154,0.000162682,7e-05,0.000198074
"1565","SLC25A6","ENSG00000292334","turquoise",0,3.61e-05,2.84e-05,0,0.000108866,0.00013398,0,0,0,9.47e-05,0,0,0,0,0.000212981,0.000494706,0.000375781,0.00018209,0.000551414
"1566","SLC2A1","ENSG00000117394","grey",0.000312237,0.000129802,0.000159821,0.0001617,0.000137523,0,0.000277222,0.000202136,0.000229517,0.000177144,0.000174013,0.000275751,0.000158614,0.000174608,0.000330317,0.00038458,0.000108759,0.000196683,0.000388808
"1567","SLC2A13","ENSG00000151229","grey",0,1.27e-05,2.06e-05,2.16e-05,2.53e-05,0,0,1.51e-05,0,1.55e-05,0,0,0,0,0,1.61e-05,7.5e-06,0,0
"1568","SLC2A3","ENSG00000059804","black",0.000729149,0.000545074,0.000609496,0.000713263,0.000379599,0.000339318,0.000478998,0.000384454,0.000393867,0.000559386,0.000446441,0.000392898,0.000161193,0.000439256,0.000285675,0.000220173,0,9.82e-05,0.000140558
"1569","SLC2A5","ENSG00000142583","turquoise",5.57e-05,0,0,0,8.12e-05,0,8.64e-05,9.02e-05,0,5.41e-05,6.12e-05,0,0,0,8.25e-05,0.00013014,0.000113072,0.000165678,9.69e-05
"1570","SLC30A1","ENSG00000170385","turquoise",4.81e-05,5.89e-05,5.55e-05,5.59e-05,6.52e-05,3.78e-05,4.83e-05,5.66e-05,3.24e-05,5.09e-05,5.31e-05,4.04e-05,3.45e-05,3.26e-05,5.05e-05,6.52e-05,9.21e-05,6.28e-05,7.3e-05
"1571","SLC39A12","ENSG00000148482","turquoise",0,0,0,0,0,0,6.07e-05,3.53e-05,0,0,1.66e-05,0,0,0,2.83e-05,4.75e-05,2.83e-05,4.53e-05,6.1e-05
"1572","SLC3A2","ENSG00000168003","turquoise",0.001367258,0.000953283,0.000946914,0.001095012,0.000838818,0.000995426,0.001090708,0.000996211,0.001046323,0.001229552,0.001127715,0.001092154,0.000815702,0.000854858,0.001463208,0.001696326,0.001706701,0.001539166,0.00196998
"1573","SLC44A1","ENSG00000070214","black",0.000197423,0.00014255,0.000100225,0.000125945,0.000233519,0.00024652,0.000232049,0.000386988,0.000251267,0.000238577,0.000361629,0.000289518,0.000324108,0.000241977,0.000301631,0.00028485,0.000452395,0.000271225,0.000291683
"1574","SLC44A2","ENSG00000129353","turquoise",0.000478935,0.000422188,0.00031134,0.000455416,0.000635767,0.000408734,0.000556271,0.000506439,0.000426079,0.000393563,0.000371658,0.000580015,0.00056349,0.000375104,0.000575859,0.001251767,0.001402574,0.001059729,0.001150766
"1575","SLC4A1","ENSG00000004939","turquoise",6.93e-05,2.92e-05,3.09e-05,2.58e-05,1.98e-05,3.53e-05,9e-05,9.45e-05,3.58e-05,0.000110464,7.76e-05,8.36e-05,5.89e-05,3.46e-05,0.000201302,0.000226943,4.02e-05,0.000269915,0.000312069
"1576","SLC4A10","ENSG00000144290","grey",1.71e-05,1.63e-05,9.18e-06,0,1.11e-05,1.24e-05,6.6e-06,0,8.59e-06,1.46e-05,1.58e-05,1.44e-05,6.21e-06,9.4e-06,0,7.36e-06,7.4e-06,0,0
"1577","SLC4A4","ENSG00000080493","black",0.000401606,0.000264954,0.000279007,0.000308622,0.000258181,0.000236895,0.000240457,0.000285242,0.000219722,0.000242857,0.000275769,0.000254237,0.000188551,0.000168997,0.000219151,0.000240426,0.000184035,0.000201477,0.000128726
"1578","SLC6A1","ENSG00000157103","grey",0.00030432,0.000196054,0.000186844,0.000247088,0.000172616,0.000170033,0.000181533,0.000158739,0.000214444,0.000168085,0.000173779,0.000203939,0.000110819,0.00010869,0.000163011,0.000242322,0.000140032,9.31e-05,0.000194654
"1579","SLC6A11","ENSG00000132164","grey",0.000143948,8.17e-05,6.49e-05,5.95e-05,0.000103556,9.58e-05,7.51e-05,7.58e-05,0.000101747,7.77e-05,0.000106296,0.000113755,9.15e-05,5.68e-05,7.08e-05,0.000122087,0,0.000101342,0.0001369
"1580","SLC6A17","ENSG00000197106","pink",3.38e-05,5.48e-05,4.58e-05,5.39e-05,4.86e-05,5.52e-05,9.41e-05,4.79e-05,2.8e-05,5.93e-05,3.51e-05,2.07e-05,2.05e-05,2.02e-05,1.94e-05,1.87e-05,1.1e-05,2.35e-05,2.33e-05
"1581","SLC7A11","ENSG00000151012","turquoise",3.91e-05,0,0,4e-05,2.57e-05,0,0,4.65e-05,4.39e-05,0,4.14e-05,0,0,0,4.47e-05,6.78e-05,6.1e-05,4.35e-05,4.97e-05
"1582","SLC7A5","ENSG00000103257","turquoise",4.88e-05,0,0,0,0,0,0,3.6e-05,4.56e-05,0,0,3.79e-05,0,2.86e-05,6.57e-05,7.08e-05,7.74e-05,0,7.21e-05
"1583","SLC8A1","ENSG00000183023","black",4.26e-05,6.76e-05,5.75e-05,5.04e-05,3.34e-05,3.92e-05,2.65e-05,4.78e-05,5.15e-05,5.11e-05,6.06e-05,3.88e-05,2.79e-05,3.01e-05,2.74e-05,2.45e-05,1.86e-05,1.2e-05,2.13e-05
"1584","SLC8A2","ENSG00000118160","black",0.000233327,0.000339845,0.000348157,0.000426256,0.000309322,0.000160671,0.000192746,0.000248729,0.000234404,0.000369695,0.000258355,0.000186445,0.000171381,0.000263103,7.75e-05,6.06e-05,5.15e-05,3.11e-05,8.45e-05
"1585","SLC9A1","ENSG00000090020","black",2.73e-05,3.17e-05,2.36e-05,2.07e-05,0,0,0,2.47e-05,2.23e-05,2.44e-05,2.63e-05,0,0,1.46e-05,0,0,0,0,0
"1586","SLC9A3R1",NA,"turquoise",0.001813585,0.002722984,0.001538531,0.001778293,0.002998973,0.00251677,0.002817994,0.002734101,0.002356139,0.002809044,0.003015249,0.002957385,0.002761605,0.00214096,0.002620746,0.003786105,0.004835439,0.005911312,0.003305332
"1587","SLC9A3R2",NA,"turquoise",0.000323666,0.00036457,0.000301524,0.000278409,0.000303297,0.000340841,0.000530328,0.000422155,0.000313783,0.000338643,0.000425722,0.000461812,0.000343482,0.000252262,0.000484107,0.000652394,0.001177617,0.001207147,0.000527916
"1588","SMPD3","ENSG00000103056","black",1.43e-05,1.87e-05,2.54e-05,2.09e-05,1.19e-05,9.49e-06,0,1.06e-05,1.35e-05,1.32e-05,0,0,6.16e-06,1.17e-05,0,0,0,0,0
"1589","SMS","ENSG00000102172","grey",0,3.07e-05,2.29e-05,2.41e-05,0,3.66e-05,0,1.66e-05,0,1.64e-05,2e-05,0,0,0,0,2.09e-05,1.75e-05,4.08e-05,0
"1590","SNAP23","ENSG00000092531","turquoise",4.64e-05,4.3e-05,5.97e-05,7.65e-05,0.000102743,8.14e-05,0.000196462,6.84e-05,6.66e-05,9.04e-05,8.17e-05,0.000119477,7.02e-05,9.57e-05,0.000189098,0.000170131,0.000176333,0.000256111,0.000228336
"1591","SNAP25","ENSG00000132639","black",0.009669926,0.010317415,0.013820626,0.01251763,0.007541893,0.005891813,0.00577514,0.006032399,0.006746237,0.010859673,0.008585105,0.006687105,0.005586341,0.006661228,0.002765502,0.001932826,0.001796729,0.001387544,0.001827338
